Finding ID,Title,Severity,Status,Priority,Remediation Wave,Domain,Component,Recommended Owner,Estimated Effort,Dependencies / Sequencing Notes,Regression Risk,Required Tests,Rollback Requirements,Discovered By
A-WEBHOOK-001,"Owner-ledger payment writes use disjoint idempotency namespaces keyed on webhook-event-id/transaction-id, not payment identity — one real payment surfacing as multiple Stripe events (or across both webhook endpoints) posts multiple negative ledger entries (double/triple credit)",critical,needs runtime verification,P0,Wave 0,webhook/ledger,server/routes.ts /api/webhooks/payments; server/storage.ts processPaymentWebhookEvent; server/services/stripe-reconciliation.ts writeLedgerEntryForCharge; server/routes/stripe-connect.ts platform Conn,YCM backend eng (money/ledger) + William (Stripe dashboard access),L,"Runtime-verify Stripe event subscriptions FIRST (cheap, ~30 min) before code changes; blocks/informs A-WEBHOOK-002 fix grain.",Medium-high — consolidating three write paths and adding a unique constraint requires backfilling/deduping any existing duplicate rows and careful handling of legacy charges lacking a PI id; a too-narrow key could drop legitimately distinct payments.,POST checkout.session.completed + payment_intent.succeeded for one PI → exactly one ledger credit; per-HOA payment-webhook + platform stripe_charge for one charge → exactly one credit; autopay succeeded → exactly one credit; unique-constraint violation path returns idempotent success not 400,"N/A — read-only Stripe Dashboard check first; code fix is additive (new unique key/constraint), revert via git if it rejects legitimate distinct payments.",lane-a
A-SEC-001,Full JSON response bodies of every /api request logged to stdout in production (PII + auth tokens leak),high,validated,P0,Wave 0,secrets,server/index.ts request-logging middleware; server/logger.ts,YCM backend eng,XS,Ship same-day; zero dependencies.,Very low — removing the body-append is behavior-preserving for the app; only reduces log verbosity.,assert log line for an /api request contains no response-body content in production mode; assert a verify-login response token never appears in captured log output,Trivial revert (restore the JSON.stringify line) — zero functional risk either direction.,lane-a
A-WEBHOOK-002,"Owner-ledger idempotency is check-then-insert with NO unique DB constraint on (referenceType, referenceId) — concurrent duplicate webhook deliveries can race past the existence check and double-insert",high,validated,P0,Wave 0,ledger,server/services/stripe-reconciliation.ts writeLedgerEntryForCharge; server/routes.ts autopay ledger block; shared/schema.ts owner_ledger_entries,YCM backend eng (money/ledger),M,Ships together with A-WEBHOOK-001 — same canonical idempotency key.,Medium — a unique index will fail if pre-existing duplicate rows exist; must dedupe historical data first. Some referenceType values (e.g. manual adjustments) may legitimately share referenceId=null and must be excluded via a partial index.,concurrent duplicate charge.succeeded → single ledger row; payout.paid belt-and-suspenders after charge.succeeded → no second row; migration guard rejects/dedupes pre-existing duplicates,Migration adds a partial unique index; must dedupe existing duplicate rows first (data audit) — reversible migration (drop index) if it blocks legitimate writes.,lane-a
A-WEBHOOK-003,Stripe webhook signature verification omits the timestamp tolerance / replay window — captured signed events can be replayed indefinitely,low,validated,P0,Wave 0,webhook,server/routes/stripe-connect.ts verifyStripeWebhookSignature; server/routes.ts per-HOA inline Stripe verification,YCM backend eng (auth/webhooks),XS,Same webhook-verification code as A-WEBHOOK-001/002 — bundle into the same PR.,Low — additive check; only rejects stale/clock-skewed deliveries (make tolerance configurable).,stale timestamp rejected; fresh timestamp accepted; clock-skew within tolerance accepted,Additive check only; revert the tolerance check if it rejects legitimate clock-skewed deliveries (tune tolerance instead of reverting).,lane-a
A-REL-004,Auto-deploy on every merge with immediate strategy + auto-run schema migrations + no staging and no automated rollback,high,validated,P1,Wave 1,reliability,.github/workflows/fly-deploy.yml; fly.toml release_command; scripts/migrate.cjs,YCM release engineer / DevOps,M,Coordinate with CQ-005 (same root gap) — ship as one deploy-safety change set.,Medium — changing deploy strategy on a single-machine app needs care (rolling needs ≥2 machines); a migration-review gate adds process friction.,dry-run a deliberately-failing migration and confirm deploy aborts with app machines unchanged; verify documented restore-from-backup path against a staging DB,New deploy strategy (rolling/health-gated) is a Fly config change — revert to `immediate` strategy in fly.toml if rollout issues appear on the single-machine topology.,lane-a
CQ-001,"ESLint scope is client-only — entire server/ (38.5k lines, all money/tenant/webhook logic) is never linted",high,validated,P1,Wave 1,CI quality gates / static analysis,package.json; server/**,YCM backend eng (lead) + whole team (incremental triage),M,SEVERITY RESOLVED TO HIGH (see report §Severity Resolutions) — supersedes A-REL-006's LOW rating on the same fact.,Low (adding lint coverage; enabling rules incrementally avoids a merge wall).,None specified,"Lint-only change — reverting the script line removes the gate; no functional risk. Expect a large initial finding backlog — triage incrementally, do not bulk-suppress.",lane-c
CQ-003,npm-audit CI gate fails on CRITICAL CVEs only — high/moderate vulns merge freely,high,validated,P1,Wave 1,CI quality gates / supply chain,.github/workflows/security.yml,YCM DevOps / backend eng (triage),S,"One-time triage of current high/moderate CVEs required BEFORE flipping the gate, or the first PR after the change will be blocked.",Low-medium (may block merges until existing high CVEs are resolved/allowlisted — do a one-time triage first).,None specified,Workflow threshold change (`--audit-level=high`) — revert the flag if it blocks merges on an unresolvable transitive CVE (add to the allowlist instead).,lane-c
CQ-004,Single self-hosted macOS runner is the sole CI + deploy host — SPOF observed offline blocking all CI,high,validated,P1,Wave 1,CI quality gates / availability,.github/workflows/ci.yml; .github/workflows/fly-deploy.yml,YCM DevOps,M,"mini-ycm runner reportedly already exists per founder-os#10197 — confirm and register it, or arm hosted-fallback.",Low (adding redundancy).,None specified,Adding a second self-hosted runner (or arming the OP #83 hosted-fallback) is additive — no rollback risk.,lane-c
CQ-005,Every push to main auto-deploys to prod with no staging/promotion gate in the pipeline,high,validated,P1,Wave 1,CI quality gates / release safety,.github/workflows/fly-deploy.yml,YCM release engineer / DevOps,M,Same root gap as A-REL-004 — the yourcondomanager-staging app referenced in the finding needs confirming/provisioning first.,Low (adds a gate; existing OP #31 'deploy-on-merge' intent can be preserved via auto-promote-after-staging-green).,post-deploy smoke test as the promotion gate,Environment-protection rule / promotion gate is additive to the workflow — remove the gate to revert.,lane-c
PERF-B-002,Postgres pool has no max configured → pg default of 10 connections caps throughput under the automation sweep,high,validated,P1,Wave 1,performance/db-connection-pooling,server/db.ts; server/index.ts (automation sweep),YCM backend eng / DevOps,S,Confirm Neon plan's max_connections before setting the pool max — do not guess a value.,"low — additive config; wrong (too-high) value could hit Neon's ceiling, so verify against the plan limit.",load test at expected concurrency observing pool wait time; confirm Neon max_connections for the current plan,Config-only (`max` on the pool) — revert by removing the value; tune against Neon's actual connection ceiling first.,lane-b
